commit,p50,p95,p99
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,1096,1326,2765
b8e0ca955da019be85c5b7d381f62f529781eaf3,131,289,373
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,1017,1483,1756
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,930,1181,1378
dd2e85dec629c5c0407bb475271c6adb1d471058,247,304,1010
f774163c71a3dd7101b4713f3746a0b54a42336b,928,1068,1174
3efdbbdddd8227b5260058e8831564cda37ddea9,864,1026,1075
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,927,1129,3310
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,785,984,1004
08ebc197a5662357cede3acf24f24a2e86fac1cb,918,1192,1644
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,901,1051,1110
a23e489b54dc821804995274ecc8d12157158e26,922,1101,1250
2b44b595130a34981344c929285bba2095961ef3,145,287,307
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,894,1065,1187
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,113,277,291
c8df94651c9ce924bb61d70c8cce6796e1d61058,897,1121,1314
5f71bb9930151a1595455f56a405d7aeff29128f,1111,1292,1404
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,230,304,525
c9c55ea86ba4ec87010256dfcd90921f39c49560,991,1176,1398
283348c8044d834de1f8998220aea3ba441746b2,892,1034,1089
996a1466d30f9d33a70f7c5e40834e62d5a1fec4,260,374,592
6d13f91c4366e34cbd0e3809d24697dfec47b519,878,1115,1197
60d1364fec5b8508db38044cd41bb74dc58c1338,284,311,475
a5392e36c3f70061c41d33cac827595806b4c01f,1586,1801,1872
0e4a4c2796cc816bdc37b028841dc9f58a989cf3,1686,1990,2156
29165c34725e3d176b7862c1cdade564b0e05d10,1818,2211,2735
096f7414065a57805e2ca6b5107dc94130cc3845,1617,1862,2280
0f5ba227c55f3f789d5a892f72cc21caaa4ccaba,1770,2300,2855
a04a49cc8304fcbbbe08cd497a69356b385ae98a,1762,2062,3330
6c6f7247c3168a53b1f034fa61bc1440db079178,1581,1788,3121
b7ab360f2b492e8df6cc0b6c6ddbfe2d19d694dd,1680,1917,2496
5c775280c20f00358509076689637dbb25fda8bc,1785,2002,2050
6aede6a6bf49af3c5683f8e58ec7311f467c1b10,1657,1864,2588
