commit,p50,p95,p99
a9c5572845dbaebfea7edd08a555e3f6383c46f8,37091,40414,41561
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,31504,33361,33776
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,33378,36879,40880
dd2e85dec629c5c0407bb475271c6adb1d471058,14362,17760,19205
f774163c71a3dd7101b4713f3746a0b54a42336b,31286,33011,33927
3efdbbdddd8227b5260058e8831564cda37ddea9,32352,35754,39205
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,34683,37946,40003
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,30251,33000,35512
08ebc197a5662357cede3acf24f24a2e86fac1cb,30607,32386,34298
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,29843,31363,32543
a23e489b54dc821804995274ecc8d12157158e26,13772,17865,18833
2b44b595130a34981344c929285bba2095961ef3,31003,32799,37214
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,31136,33897,35579
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,14842,18665,21989
c8df94651c9ce924bb61d70c8cce6796e1d61058,33088,37700,39181
5f71bb9930151a1595455f56a405d7aeff29128f,32908,35618,47207
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,29810,31443,34820
c9c55ea86ba4ec87010256dfcd90921f39c49560,31810,40315,46789
283348c8044d834de1f8998220aea3ba441746b2,34011,37061,37506
996a1466d30f9d33a70f7c5e40834e62d5a1fec4,29690,31458,32320
6d13f91c4366e34cbd0e3809d24697dfec47b519,31802,35408,39337
60d1364fec5b8508db38044cd41bb74dc58c1338,34197,36973,38098
a5392e36c3f70061c41d33cac827595806b4c01f,34976,38060,41333
0e4a4c2796cc816bdc37b028841dc9f58a989cf3,33783,35516,36231
29165c34725e3d176b7862c1cdade564b0e05d10,33617,36202,47801
096f7414065a57805e2ca6b5107dc94130cc3845,37143,41611,45846
0f5ba227c55f3f789d5a892f72cc21caaa4ccaba,37799,41502,42732
a04a49cc8304fcbbbe08cd497a69356b385ae98a,36256,39692,40625
6c6f7247c3168a53b1f034fa61bc1440db079178,33904,36587,37717
b7ab360f2b492e8df6cc0b6c6ddbfe2d19d694dd,34517,38362,40092
5c775280c20f00358509076689637dbb25fda8bc,36229,38762,40336
6aede6a6bf49af3c5683f8e58ec7311f467c1b10,32810,35480,36675
c1143578e7b65da50c770532199bd3b8d1a661e5,31847,33906,34331
3f06e437eca970c8c79d3690f139e612b7b26b77,32371,34087,34712
05264e56586a9a58184f3a19dca5cc4f60d27816,33375,36683,38439
bbbfd007d05a5e7ff9f7ff1e70adc2f6e8a1a8ad,34405,36408,37799
c3ae53b86011825f7c5dc9b992d3a8244fdd5c01,34104,36640,38355
580b0a7c4236e161270ce0400776c652c73445c8,33161,37211,37886
