commit,p50,p95,p99
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,20823,21988,22306
b8e0ca955da019be85c5b7d381f62f529781eaf3,5706,7291,7682
d4c9de2d5d70cbd2916b2ff718e1a2317c3f75f5,18803,20039,20773
ae408cc6752d94cbf9c769c0a7fb4488b8c0bc23,18720,20732,33007
dd2e85dec629c5c0407bb475271c6adb1d471058,6277,7929,8735
f774163c71a3dd7101b4713f3746a0b54a42336b,18311,19428,20689
3efdbbdddd8227b5260058e8831564cda37ddea9,18461,20613,22920
5fbbadfd7933b5b7c3c2a3c204b372d36aaee4d4,18305,20006,20891
87e7a1a26ac090bb0b028b44901a07f3cb8a581e,17836,19379,20125
08ebc197a5662357cede3acf24f24a2e86fac1cb,17782,18902,19366
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,17773,18682,19301
a23e489b54dc821804995274ecc8d12157158e26,18284,19799,31388
2b44b595130a34981344c929285bba2095961ef3,5963,7374,7989
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,18499,20587,32516
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,5192,6528,7614
c8df94651c9ce924bb61d70c8cce6796e1d61058,18514,19640,21062
5f71bb9930151a1595455f56a405d7aeff29128f,20429,22251,22772
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,6001,7023,7525
c9c55ea86ba4ec87010256dfcd90921f39c49560,17831,18791,19884
283348c8044d834de1f8998220aea3ba441746b2,17500,18591,19090
996a1466d30f9d33a70f7c5e40834e62d5a1fec4,7009,8538,11135
6d13f91c4366e34cbd0e3809d24697dfec47b519,17351,18242,31596
60d1364fec5b8508db38044cd41bb74dc58c1338,6547,8305,11419
a5392e36c3f70061c41d33cac827595806b4c01f,20428,22503,26619
0e4a4c2796cc816bdc37b028841dc9f58a989cf3,18187,19046,19387
29165c34725e3d176b7862c1cdade564b0e05d10,18794,20638,23413
096f7414065a57805e2ca6b5107dc94130cc3845,19105,21137,21748
0f5ba227c55f3f789d5a892f72cc21caaa4ccaba,18348,19700,20129
a04a49cc8304fcbbbe08cd497a69356b385ae98a,17749,19540,20122
6c6f7247c3168a53b1f034fa61bc1440db079178,17188,18370,19544
b7ab360f2b492e8df6cc0b6c6ddbfe2d19d694dd,18529,20509,24908
5c775280c20f00358509076689637dbb25fda8bc,18363,19947,20518
6aede6a6bf49af3c5683f8e58ec7311f467c1b10,18712,20835,21281
c1143578e7b65da50c770532199bd3b8d1a661e5,5473,6769,7548
3f06e437eca970c8c79d3690f139e612b7b26b77,5493,6475,6844
05264e56586a9a58184f3a19dca5cc4f60d27816,17735,20690,23171
bbbfd007d05a5e7ff9f7ff1e70adc2f6e8a1a8ad,17826,19043,20200
c3ae53b86011825f7c5dc9b992d3a8244fdd5c01,18948,21259,22545
580b0a7c4236e161270ce0400776c652c73445c8,19012,20523,21523
dfcfb2dafc6acfa86cd1db8f8c6cd498202e202c,17452,18661,19027
e549ace612712af9292e8d3165c0d5c1f7c030cc,16915,17945,18670
9e71fbaddc112024d46096074825d1d2de40b0b1,17446,18527,18878
2c6f4ba839c1bd97d58609918867bdc7449378c3,17708,19503,53687
f8598c1b9aeff50aa916ec01cab51f6544a125fe,18344,19786,20847
11663efc1b496112c3c1b6d39406071a9afe333d,17339,18645,18878
399c1bcf1e59df41da6ad27c608df0699c5f7860,17190,18700,23520
9795dbe858bfae70f91e6f6e85e2252b540facec,18064,23814,27828
19bb5ffe2976a6e5dd2ccca6fa46bae459a7ac07,19971,21786,27481
