commit,step,label,p50,p95,p99
aab127b708a50350645644f288664ea224474046,0,nanvix-bench::write_all(),,,
aab127b708a50350645644f288664ea224474046,1,linuxd::worker_thread::handle_read_request(),184,192,197
aab127b708a50350645644f288664ea224474046,2,uservm::io_thread::system_vm::read(),13,13,14
aab127b708a50350645644f288664ea224474046,3,uservm::memory_thread::data_rx::recv(),2,3,3
aab127b708a50350645644f288664ea224474046,4,uservm::lib::vm_input::vmexit(),111,116,118
aab127b708a50350645644f288664ea224474046,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
aab127b708a50350645644f288664ea224474046,6,uservm::lib::vm_output::send(),31,32,32
aab127b708a50350645644f288664ea224474046,7,uservm::io_thread::system_vm::write(),11,12,12
aab127b708a50350645644f288664ea224474046,8,linuxd::worker_thread::handle_write_request(),25,27,28
aab127b708a50350645644f288664ea224474046,9,nanvix-bench::read_exact(),23,25,26
aab127b708a50350645644f288664ea224474046,10,Total,400,407,410
e089d420e60fc9e655fb60613b8f28d651774f24,0,nanvix-bench::write_all(),,,
e089d420e60fc9e655fb60613b8f28d651774f24,1,linuxd::worker_thread::handle_read_request(),182,189,193
e089d420e60fc9e655fb60613b8f28d651774f24,2,uservm::io_thread::system_vm::read(),13,14,15
e089d420e60fc9e655fb60613b8f28d651774f24,3,uservm::memory_thread::data_rx::recv(),2,3,3
e089d420e60fc9e655fb60613b8f28d651774f24,4,uservm::lib::vm_input::vmexit(),111,115,116
e089d420e60fc9e655fb60613b8f28d651774f24,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
e089d420e60fc9e655fb60613b8f28d651774f24,6,uservm::lib::vm_output::send(),30,31,31
e089d420e60fc9e655fb60613b8f28d651774f24,7,uservm::io_thread::system_vm::write(),11,11,12
e089d420e60fc9e655fb60613b8f28d651774f24,8,linuxd::worker_thread::handle_write_request(),25,30,32
e089d420e60fc9e655fb60613b8f28d651774f24,9,nanvix-bench::read_exact(),24,27,28
e089d420e60fc9e655fb60613b8f28d651774f24,10,Total,400,407,411
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,0,nanvix-bench::write_all(),,,
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,1,linuxd::worker_thread::handle_read_request(),183,189,193
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,2,uservm::io_thread::system_vm::read(),13,14,14
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,3,uservm::memory_thread::data_rx::recv(),2,3,3
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,4,uservm::lib::vm_input::vmexit(),112,115,116
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,6,uservm::lib::vm_output::send(),30,31,31
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,7,uservm::io_thread::system_vm::write(),11,12,13
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,8,linuxd::worker_thread::handle_write_request(),25,28,31
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,9,nanvix-bench::read_exact(),24,28,30
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,10,Total,400,406,409
6412cc6a46f3b5543cfef307f5a40023c85cbf37,0,nanvix-bench::write_all(),,,
6412cc6a46f3b5543cfef307f5a40023c85cbf37,1,linuxd::worker_thread::handle_read_request(),183,187,191
6412cc6a46f3b5543cfef307f5a40023c85cbf37,2,uservm::io_thread::system_vm::read(),13,14,15
6412cc6a46f3b5543cfef307f5a40023c85cbf37,3,uservm::memory_thread::data_rx::recv(),2,3,3
6412cc6a46f3b5543cfef307f5a40023c85cbf37,4,uservm::lib::vm_input::vmexit(),111,114,115
6412cc6a46f3b5543cfef307f5a40023c85cbf37,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
6412cc6a46f3b5543cfef307f5a40023c85cbf37,6,uservm::lib::vm_output::send(),30,31,31
6412cc6a46f3b5543cfef307f5a40023c85cbf37,7,uservm::io_thread::system_vm::write(),11,12,13
6412cc6a46f3b5543cfef307f5a40023c85cbf37,8,linuxd::worker_thread::handle_write_request(),26,29,32
6412cc6a46f3b5543cfef307f5a40023c85cbf37,9,nanvix-bench::read_exact(),24,26,28
6412cc6a46f3b5543cfef307f5a40023c85cbf37,10,Total,399,404,412
