commit,p50,p95,p99
ed16a2ebcb91eed2fa4acc557dd841c18d912392,28782,29096,29401
f9463e7982a6c0e89c40047203fd441164f38ed5,26592,26820,30795
269b5dc3281fe6977fd77d601513efc5c8bde27e,28776,29270,29552
2f672cc388838f955d05841da1a339e125652860,28926,29209,29340
85bef3db80a3e8832379911d133d973aee7a4d66,26713,27059,28084
5d7e6bf9c11c4f894d15b8071589643ffeab15ad,28955,29333,29518
1b8eec6bca94222779d400e1d405743171f7fbe5,26597,26864,27851
b1be11eb98a99c1c170446fa66b75475f124d5d9,26683,27036,27443
887d3b34b6a0f7a98186d7e07abf43e7c955b65f,26732,27064,27899
2745553be19e6fafcea01ce998795270a447c357,26677,27066,27698
15b4a90a7076c6c5c802d4a052c2338b292cfe01,26652,27052,27809
755e0f674249e0af4bb3099b3d494d2d3b116149,28824,29167,30013
0df2225daf9a1ed3df5a995987cd8a2cca1af965,28925,29267,29845
925088e62b9144df371e3599d02db8dff84e8ff2,29099,29517,31032
26de2bfeb328c33d55741994acf55a25e7c879f5,28933,29173,29311
d2e96535c8fe3f3e0c476538a68ee574408d32f5,28892,29374,29563
ed3a6427be6f572cf5aaa85c09b43906a63259a4,28783,29142,29446
9254292ef5c9ffc97e9e00f0f6e9462460260eba,26692,27088,27325
336d73e69edc571fb1d46821416675ee1c264ea4,26702,27114,27758
4758a6f177a46b4eb7eca395b3b464666006dd8b,28974,29275,29511
ea37f9cd62f9c154891334c5714e1363acfc625b,28965,29290,29924
d5411465d1ec90d09fad0fefa97f4e2604756368,27014,27522,28189
b6fa755b44db214b0213ea92537810a79ec17f20,26958,27437,28003
263263f253a4733c50af4fd1b633837819156e48,29356,29676,31880
040ea50a04fe992eb07ead89507c0ece9ded5fd9,26904,27430,28823
57cbc5cf6b8deb53758099b4598ddd051d418821,27067,27719,31604
ea60f500cc30b92ef51b3c9ad02b7868477aeb1d,27040,27433,27651
86d6257e261defd2180306ad137d58e64173f1cb,29285,29630,29901
50adff29936b63f30edd0aae184ab4076681e360,26695,27018,27683
42d3f19a3cf3b4b3dc1a6c834eb5220ce1bb303f,26697,27686,29732
2b8f9987972ad9e56b157ca362108efe0dd275a2,29049,29442,29593
d6a1b21bd0484fbb3f10d67ba421d57100760e88,26830,27171,28632
63676785a82ebbeee510cf412b828b37821fdb88,29110,29440,30095
b9da0b1428ef701efe67d0303b887207c1395bac,26859,27354,41001
82c3603ce535241cb6e8ebefca86fdceefd4b93a,31942,32282,32454
03923a174275fdc368d1011762c0974d9e39ffb0,32150,32482,33006
e148ec0988792598774d94b914574e957151b2e6,32109,32432,35769
cc2eb5ca4200755d214672176d3ccd51b40c159c,30711,31220,31481
1c2e6215ea54ac5f398a3735d87ed1346914f683,30426,30782,32996
5fdfb0b133514f92b469fbd37e1cf209501578d1,30711,31169,31302
17ccf45c076dea38b1959bbdccbc339f25eb7207,30477,31137,32003
890e838a37816193511ad0a66a1a28e2dae0f3be,31948,32250,33116
9bea4a95bfa74fa53efe807f39a5742958fb8e61,32156,32445,32997
45f3b4c78e739f3b63dae9e9ce3715de31d27f44,30581,31076,31267
f05bcd246e4b8a64a9244a7164a1294624a104cf,30566,31371,38107
ea4d0030e5ed64b4309d393c9414485640690cf0,32109,32469,33730
3afc15c3d166ad390c562752c6d930c227a60f8c,32167,32619,33105
04c4544d5e2b098c3b3758aeb1700e53cdcb4e40,30524,31278,31657
4aadc51427d3babb617975cf3bd9c24fa71f7073,31988,32304,32529
8bbec3a5b1f19d5ab3969a69990515d9f01edf0e,30621,31188,31479
b8536503867466093d0c9bd06c71fa6a6d8e11d9,32184,32651,35121
f00382c9b6a0d0f9c07239cd64d7167ae3788c92,32035,32322,32469
834f3210d9f54e4d2b17a08637afee5a099bc0e1,30744,31261,32348
cee6c9ceb35126de742ef4489d8805fddc9b118c,30522,30971,31716
de2892ca2e72d5fbddb3134b57741069338b1b6c,30631,31115,33014
2d67c744fb99b850c99004bb4b69af9ada9b30ba,32164,32665,33296
474d61c8a5a32034e2dd5f31e6606f524e1c48ee,32100,32560,32846
9bc65ed3df10faec23ae713d95d8ebaba73f1f8d,32032,32435,33646
8dee831839646e6f2bf7b194f36f4a16341c7718,32148,32479,32864
a3b1ff56dacb45bb5068819f39f203bf51188fea,32217,32556,33082
d761b8f729c9ca98c80455f2b41c663d6c6b234d,30670,31318,32379
c7f16e6ca90679af7ec058d19935021f3eab73c0,30716,31329,35207
7d1f799b1913a206a4ad225dfbc2076038ae9508,30607,31138,35059
250aba01b1ebb696f5f112e5806efdf931dc8f42,30844,31925,60537
b9281de8f0cc87cdfb536cb996dcb0e2c62dc2db,32167,32505,32637
e3874dddd3f6c57952e5bafe04b26d9317f4fb5a,30658,31340,31801
59e45f9fb6e8ce2157272836b1de76c576570be7,32073,32543,33078
62a7e271a25ad98627ce22e555eeca429f0a777d,32127,32453,32886
f79e0d76a23a8d2bec58dabc9f9f73c2dec7c44a,31979,32341,33510
074841d7b72c31d0443ffdce219e3bdf086db1a8,30687,31371,34964
c33b7d65c7ee8485c11743d557ec5b1ca77a1635,32490,32829,37718
86c3ba93f0b015321c7b42ee680974c566aa68b6,30846,31568,33954
e7523b3151475ad68dd37bb3631f1138af08f13d,30828,31758,32010
7ffc5650e47e5cf1d2854d8e9b02cdee661ba862,32453,32893,33253
f94a502b05d94dea6ae7c6b7ec4e417b807ae6a5,32421,33011,34263
91bd1b09afb2546e0bd6e08c4d2528e1e2e884ae,30878,31883,32871
17f7bff22982adb3d94eb62e8a29254dd5f64ff5,32348,32904,33110
6cdc782a8b346c48527204a7dfccc7ee071f16ed,32476,32899,33193
9fc340846d11292b6f98374e34ac891e5a82a3bb,32404,32736,32845
7523b8f0dcb9ffbd5a84f863c24a6ab4c55c5e3d,32369,32978,34546
