commit,size,p50,p95,p99
a98f96c5686f8d814724ff69a557a2d3263f680d,32B,307,358,18999
a98f96c5686f8d814724ff69a557a2d3263f680d,1KiB,301,345,367
a98f96c5686f8d814724ff69a557a2d3263f680d,4KiB,312,350,378
a98f96c5686f8d814724ff69a557a2d3263f680d,8KiB,427,476,493
a98f96c5686f8d814724ff69a557a2d3263f680d,16KiB,690,762,771
89a642312840673abd94b4797badd91e20da36f3,32B,308,362,23993
89a642312840673abd94b4797badd91e20da36f3,1KiB,310,333,1204
89a642312840673abd94b4797badd91e20da36f3,4KiB,315,346,2079
89a642312840673abd94b4797badd91e20da36f3,8KiB,437,482,504
89a642312840673abd94b4797badd91e20da36f3,16KiB,698,771,784
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,32B,308,339,49965
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,1KiB,306,339,357
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,4KiB,306,352,364
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,8KiB,431,474,595
bcfcd334ea611e4f84bc8b7e1c762a86da9152a7,16KiB,675,731,845
093f500adfdef056c7280244913e934012ac0bd8,32B,307,345,36092
093f500adfdef056c7280244913e934012ac0bd8,1KiB,307,338,371
093f500adfdef056c7280244913e934012ac0bd8,4KiB,310,343,358
093f500adfdef056c7280244913e934012ac0bd8,8KiB,445,477,491
093f500adfdef056c7280244913e934012ac0bd8,16KiB,679,726,778
655c2ffaaeeffb901143db3415dc65bd70affb75,32B,301,339,21781
655c2ffaaeeffb901143db3415dc65bd70affb75,1KiB,302,337,352
655c2ffaaeeffb901143db3415dc65bd70affb75,4KiB,307,335,350
655c2ffaaeeffb901143db3415dc65bd70affb75,8KiB,422,464,502
655c2ffaaeeffb901143db3415dc65bd70affb75,16KiB,672,725,785
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,32B,312,362,20578
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,1KiB,302,337,348
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,4KiB,304,339,348
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,8KiB,436,480,627
130f01fc8fd928eff6ee80a28f7a5d44c4010a4c,16KiB,682,736,820
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,32B,313,348,23482
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,1KiB,307,344,360
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,4KiB,307,340,369
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,8KiB,429,478,497
e97521cc6e215806dd9425bbdb68f4ffd433a5ef,16KiB,670,726,775
