commit,size,p50,p95,p99
7dfe9448d0c640ddf5ec660e162b7994a73cdffb,32B,314,351,20661
7dfe9448d0c640ddf5ec660e162b7994a73cdffb,1KiB,5761,6258,6505
7dfe9448d0c640ddf5ec660e162b7994a73cdffb,4KiB,21448,22884,23848
7dfe9448d0c640ddf5ec660e162b7994a73cdffb,8KiB,42648,45187,51920
7dfe9448d0c640ddf5ec660e162b7994a73cdffb,16KiB,85076,88709,90414
9105ef2a918b0ce70af6c463592c7f746ad3c0de,32B,315,346,28940
9105ef2a918b0ce70af6c463592c7f746ad3c0de,1KiB,5781,6153,6384
9105ef2a918b0ce70af6c463592c7f746ad3c0de,4KiB,21519,23394,24222
9105ef2a918b0ce70af6c463592c7f746ad3c0de,8KiB,42914,45770,57042
9105ef2a918b0ce70af6c463592c7f746ad3c0de,16KiB,85252,89549,90459
8abe9dc7e61ed9109a1d76d8b61990147742f3f0,32B,319,361,3348
8abe9dc7e61ed9109a1d76d8b61990147742f3f0,1KiB,5842,6366,6473
8abe9dc7e61ed9109a1d76d8b61990147742f3f0,4KiB,21917,24225,25474
8abe9dc7e61ed9109a1d76d8b61990147742f3f0,8KiB,43156,46653,48049
8abe9dc7e61ed9109a1d76d8b61990147742f3f0,16KiB,87900,91796,93206
1037ced59ae0b6d4d2de2902bcf3ad972b980ed7,32B,316,356,6278
1037ced59ae0b6d4d2de2902bcf3ad972b980ed7,1KiB,5816,6260,6425
1037ced59ae0b6d4d2de2902bcf3ad972b980ed7,4KiB,21576,23397,23979
1037ced59ae0b6d4d2de2902bcf3ad972b980ed7,8KiB,42640,45544,46621
1037ced59ae0b6d4d2de2902bcf3ad972b980ed7,16KiB,84484,87945,102488
001e182e32a921ac3bd3f7a3cbe9b665269f9215,32B,311,351,3423
001e182e32a921ac3bd3f7a3cbe9b665269f9215,1KiB,5531,6087,6395
001e182e32a921ac3bd3f7a3cbe9b665269f9215,4KiB,21434,23393,24730
001e182e32a921ac3bd3f7a3cbe9b665269f9215,8KiB,42034,45448,46464
001e182e32a921ac3bd3f7a3cbe9b665269f9215,16KiB,84250,88358,89832
9e03ca1fb71f7b4a1f1fe10a225f776a446adae1,32B,318,360,8504
9e03ca1fb71f7b4a1f1fe10a225f776a446adae1,1KiB,5798,6249,6387
9e03ca1fb71f7b4a1f1fe10a225f776a446adae1,4KiB,22041,23739,24782
9e03ca1fb71f7b4a1f1fe10a225f776a446adae1,8KiB,43283,45756,46664
9e03ca1fb71f7b4a1f1fe10a225f776a446adae1,16KiB,86058,89146,91250
5c72781b93df1f3fbf03158397886f49b3f3bd8f,32B,380,413,5647
5c72781b93df1f3fbf03158397886f49b3f3bd8f,1KiB,3696,4013,4598
5c72781b93df1f3fbf03158397886f49b3f3bd8f,4KiB,13767,14759,14897
5c72781b93df1f3fbf03158397886f49b3f3bd8f,8KiB,27182,28789,29124
5c72781b93df1f3fbf03158397886f49b3f3bd8f,16KiB,53280,55596,56739
f0c1a51e186c00a9fdf954ac4e33e87d60bd9b8e,32B,315,354,23934
f0c1a51e186c00a9fdf954ac4e33e87d60bd9b8e,1KiB,315,336,351
f0c1a51e186c00a9fdf954ac4e33e87d60bd9b8e,4KiB,315,349,369
f0c1a51e186c00a9fdf954ac4e33e87d60bd9b8e,8KiB,445,487,504
f0c1a51e186c00a9fdf954ac4e33e87d60bd9b8e,16KiB,677,755,778
20bb9642d4dc7c62d39af3e342548b071b63091e,32B,305,349,26654
20bb9642d4dc7c62d39af3e342548b071b63091e,1KiB,311,351,368
20bb9642d4dc7c62d39af3e342548b071b63091e,4KiB,309,337,371
20bb9642d4dc7c62d39af3e342548b071b63091e,8KiB,442,487,521
20bb9642d4dc7c62d39af3e342548b071b63091e,16KiB,696,764,784
b6a7cbde4e34494306936bee1d63d72217b0805f,32B,315,352,14372
b6a7cbde4e34494306936bee1d63d72217b0805f,1KiB,312,343,387
b6a7cbde4e34494306936bee1d63d72217b0805f,4KiB,319,347,400
b6a7cbde4e34494306936bee1d63d72217b0805f,8KiB,440,482,527
b6a7cbde4e34494306936bee1d63d72217b0805f,16KiB,704,761,812
45ae0422de8826b6f1f625d995e9061c4b539ef5,32B,304,349,25689
45ae0422de8826b6f1f625d995e9061c4b539ef5,1KiB,304,339,1494
45ae0422de8826b6f1f625d995e9061c4b539ef5,4KiB,311,341,358
45ae0422de8826b6f1f625d995e9061c4b539ef5,8KiB,434,473,500
45ae0422de8826b6f1f625d995e9061c4b539ef5,16KiB,662,725,774
