commit,p50,p95,p99
a9c5572845dbaebfea7edd08a555e3f6383c46f8,27909,36849,39840
64846835396b5c4ef3a56c40dcc51a6447506d36,24723,32020,38832
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,26861,33981,44022
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,25884,30946,39918
a23e489b54dc821804995274ecc8d12157158e26,25152,33985,37701
2b44b595130a34981344c929285bba2095961ef3,26903,34879,39939
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,25892,32939,36144
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,25827,32821,38650
c8df94651c9ce924bb61d70c8cce6796e1d61058,24954,31818,34833
5f71bb9930151a1595455f56a405d7aeff29128f,23887,32084,33800
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,23933,29911,30922
c9c55ea86ba4ec87010256dfcd90921f39c49560,26666,34874,39913
283348c8044d834de1f8998220aea3ba441746b2,27928,33912,38894
996a1466d30f9d33a70f7c5e40834e62d5a1fec4,25904,33925,43873
6d13f91c4366e34cbd0e3809d24697dfec47b519,25907,32918,35925
60d1364fec5b8508db38044cd41bb74dc58c1338,24865,31944,36887
a5392e36c3f70061c41d33cac827595806b4c01f,28902,33919,40934
0e4a4c2796cc816bdc37b028841dc9f58a989cf3,28842,38923,41821
29165c34725e3d176b7862c1cdade564b0e05d10,28946,38085,40888
096f7414065a57805e2ca6b5107dc94130cc3845,25908,31909,33845
0f5ba227c55f3f789d5a892f72cc21caaa4ccaba,26896,34868,38727
a04a49cc8304fcbbbe08cd497a69356b385ae98a,25847,31938,36007
6c6f7247c3168a53b1f034fa61bc1440db079178,28900,33559,36763
b7ab360f2b492e8df6cc0b6c6ddbfe2d19d694dd,28254,35910,39567
5c775280c20f00358509076689637dbb25fda8bc,26924,33899,36899
6aede6a6bf49af3c5683f8e58ec7311f467c1b10,27919,34007,46140
c1143578e7b65da50c770532199bd3b8d1a661e5,28895,34724,37814
3f06e437eca970c8c79d3690f139e612b7b26b77,26515,32902,35976
05264e56586a9a58184f3a19dca5cc4f60d27816,25872,30988,37259
bbbfd007d05a5e7ff9f7ff1e70adc2f6e8a1a8ad,26841,33917,36940
c3ae53b86011825f7c5dc9b992d3a8244fdd5c01,26924,33831,36741
580b0a7c4236e161270ce0400776c652c73445c8,26633,33218,36569
dfcfb2dafc6acfa86cd1db8f8c6cd498202e202c,28906,33868,35227
e549ace612712af9292e8d3165c0d5c1f7c030cc,27796,34885,37906
