commit,p50,p95,p99
aab127b708a50350645644f288664ea224474046,320,334,2722
e089d420e60fc9e655fb60613b8f28d651774f24,320,327,2783
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,320,330,2871
6412cc6a46f3b5543cfef307f5a40023c85cbf37,320,332,2871
b4bdca260a6081691fd1a28edfa01db65290341d,320,329,2806
6eb4b16e6248bdd59d4014cd2609b5426a3c5734,321,336,2844
72b220b7d4d974db02a3bd6237eced4273d11860,319,330,2856
7b080327161503abd420d94cedd20ca1ec89005c,320,328,2837
dcc01b30003ddd20328dd5b965ea219d3322719d,320,328,2892
98092765d3ec0d06e7b703c4a2ef4aa903506f09,321,333,2813
3f95f72f5410f01f2c1f0a85033b7eaa8e139a13,318,325,2803
19e7488fa7cab0d8c0f1e81e4ce177afa8b8fb9c,321,334,2773
e63706bf47d28ce23152341f8acc826705313f4a,320,334,2858
b045dc1d0f8c7d9c70dd0c81aaacde08fd96e3fc,320,326,2752
b46ebff3cf9162090b4bc1b577d2cea02ebc852e,319,327,2784
a9c5572845dbaebfea7edd08a555e3f6383c46f8,320,328,2737
64846835396b5c4ef3a56c40dcc51a6447506d36,320,334,2734
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,319,333,2865
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,319,334,2790
a23e489b54dc821804995274ecc8d12157158e26,321,330,2746
2b44b595130a34981344c929285bba2095961ef3,318,326,2878
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,320,334,2859
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,320,326,2764
c8df94651c9ce924bb61d70c8cce6796e1d61058,319,325,2863
5f71bb9930151a1595455f56a405d7aeff29128f,319,334,2871
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,320,329,2770
c9c55ea86ba4ec87010256dfcd90921f39c49560,319,326,2879
283348c8044d834de1f8998220aea3ba441746b2,322,333,2900
996a1466d30f9d33a70f7c5e40834e62d5a1fec4,320,331,2862
