commit,p50,p95,p99
aab127b708a50350645644f288664ea224474046,331,539,3708
e089d420e60fc9e655fb60613b8f28d651774f24,324,538,4522
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,337,533,4944
6412cc6a46f3b5543cfef307f5a40023c85cbf37,324,516,4076
b4bdca260a6081691fd1a28edfa01db65290341d,323,537,3520
6eb4b16e6248bdd59d4014cd2609b5426a3c5734,323,526,3650
72b220b7d4d974db02a3bd6237eced4273d11860,324,528,3843
7b080327161503abd420d94cedd20ca1ec89005c,332,528,4524
dcc01b30003ddd20328dd5b965ea219d3322719d,335,532,3695
98092765d3ec0d06e7b703c4a2ef4aa903506f09,324,524,3391
3f95f72f5410f01f2c1f0a85033b7eaa8e139a13,499,545,3726
19e7488fa7cab0d8c0f1e81e4ce177afa8b8fb9c,324,526,4758
e63706bf47d28ce23152341f8acc826705313f4a,326,531,3657
b045dc1d0f8c7d9c70dd0c81aaacde08fd96e3fc,334,553,3933
b46ebff3cf9162090b4bc1b577d2cea02ebc852e,321,520,3721
a9c5572845dbaebfea7edd08a555e3f6383c46f8,324,519,3566
64846835396b5c4ef3a56c40dcc51a6447506d36,323,536,3572
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,330,541,3886
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,322,524,4627
a23e489b54dc821804995274ecc8d12157158e26,329,540,4310
2b44b595130a34981344c929285bba2095961ef3,324,534,3702
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,326,530,3622
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,327,547,4775
c8df94651c9ce924bb61d70c8cce6796e1d61058,323,528,3884
5f71bb9930151a1595455f56a405d7aeff29128f,446,544,3649
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,325,538,3619
c9c55ea86ba4ec87010256dfcd90921f39c49560,325,518,3485
283348c8044d834de1f8998220aea3ba441746b2,336,530,3689
996a1466d30f9d33a70f7c5e40834e62d5a1fec4,335,544,3734
6d13f91c4366e34cbd0e3809d24697dfec47b519,326,532,3791
60d1364fec5b8508db38044cd41bb74dc58c1338,156922,157918,157940
a5392e36c3f70061c41d33cac827595806b4c01f,156922,157904,157942
0e4a4c2796cc816bdc37b028841dc9f58a989cf3,156915,157072,157131
29165c34725e3d176b7862c1cdade564b0e05d10,156917,157041,157128
096f7414065a57805e2ca6b5107dc94130cc3845,156921,157062,157933
0f5ba227c55f3f789d5a892f72cc21caaa4ccaba,156919,157926,158046
a04a49cc8304fcbbbe08cd497a69356b385ae98a,156916,157068,157164
6c6f7247c3168a53b1f034fa61bc1440db079178,156914,157032,157049
b7ab360f2b492e8df6cc0b6c6ddbfe2d19d694dd,156917,157030,157900
5c775280c20f00358509076689637dbb25fda8bc,156919,157725,157893
6aede6a6bf49af3c5683f8e58ec7311f467c1b10,156919,157069,157798
c1143578e7b65da50c770532199bd3b8d1a661e5,156909,157055,157090
3f06e437eca970c8c79d3690f139e612b7b26b77,156921,157078,157103
05264e56586a9a58184f3a19dca5cc4f60d27816,156918,157069,157096
bbbfd007d05a5e7ff9f7ff1e70adc2f6e8a1a8ad,156918,157052,157068
c3ae53b86011825f7c5dc9b992d3a8244fdd5c01,156911,157049,157201
580b0a7c4236e161270ce0400776c652c73445c8,156920,157067,157083
dfcfb2dafc6acfa86cd1db8f8c6cd498202e202c,156923,157780,157980
e549ace612712af9292e8d3165c0d5c1f7c030cc,156923,157081,158067
9e71fbaddc112024d46096074825d1d2de40b0b1,156911,157070,157102
2c6f4ba839c1bd97d58609918867bdc7449378c3,156924,157918,157967
f8598c1b9aeff50aa916ec01cab51f6544a125fe,156921,157066,157734
11663efc1b496112c3c1b6d39406071a9afe333d,156916,157056,157082
399c1bcf1e59df41da6ad27c608df0699c5f7860,156921,157922,158157
9795dbe858bfae70f91e6f6e85e2252b540facec,156918,157072,157099
19bb5ffe2976a6e5dd2ccca6fa46bae459a7ac07,156919,157034,157056
d496171e81b325c34f4591c309cdea83bfc8ffb9,156922,157058,157079
31f7cfbb26ba95a97d57b16136ba710921262f40,156922,157880,158068
9b9280cdf607bee5551ef27a9bb4f82048bb666f,156917,157058,157093
29b35789933ea08a43c8cfa319ee182ab705a5b2,156914,157089,157128
1ad4ef69989a4d626ac9a0aea67ce995906565e4,156922,157053,157098
41ab5f0ccb90753011ead705c1754b3ed9a14f3b,156927,157865,157933
91188c450fe6e1b5dc2c6dd942e5a497dfbc91a8,156914,157086,157935
b94515a8b0bfd287760eca2ca53b36fe37d16d8d,156913,157061,157077
789b12fd25faf78cc91d7c5fb8532a10e765662c,156919,157046,157083
9bf2c6d2b4e9dd6f9d851ab60aa0e8c235479779,156920,157057,157107
fd68ab054f06eb77702dd937f84b0ca67ce45c34,156914,157048,157076
cb9ee3ba2a05c52a0159741d446943d812bbb072,156922,157067,157075
96444c456a1a6f78d41e1cc44e0dce2c33edb5cd,156920,157893,158039
7d439f3b1fe19d279f676467047b765d4737670b,156917,157072,157159
5bff214ad5feddc08055f29155d457c66644c6a5,156916,157035,157192
b12afdecb29cbda299e31f2568803de255633835,156928,157763,157939
27db0c98adaa5bc7847ae073902815b7dc92251b,156922,157051,157065
5b3789b1e5662bc86b4955ec70f406f29ea80601,156918,157044,157058
04941d16598044b381bd63d960c83d3ac781cf79,156920,157049,157855
3c38b6ebce8edb1b65e00e889cdc6901eeaa434f,156917,157080,158050
41854075699a5fd6ac4f4f21a11575366d578b66,156917,157050,157114
9d242df7ac7ac0d7a3c3e0dd48cfdfb16612b90f,156921,157871,158064
538add3070bbfa81a49030b077b549a21782f435,156923,157053,157965
a601aaf47f6cbc5dd255c446b541eceb2d590dc6,156919,157043,157164
36375e2e1b3ad0a7078a1434a15e884af614089a,156914,157034,157076
f040769e697a50e78f69284792242aefd030ca22,156912,157071,157096
c9288488e036107b0a3316ad492570c545d38bd9,156917,157044,157066
fa1cd876734cd7bd5399755df3c1a5a191c56ff1,156921,157066,157925
483f1d7526ab06f8568f02413b87238f1c21d141,156916,157067,157869
a6835fb1acfc0a2d2e27dd74e02bc2ec5a0f69bc,156918,157066,157175
