commit,p50,p95,p99
aab127b708a50350645644f288664ea224474046,19915,26909,27899
e089d420e60fc9e655fb60613b8f28d651774f24,19946,26902,32954
31eae44f8d9fdaf74ee9e7167828ba6822d8b977,20898,27923,29901
6412cc6a46f3b5543cfef307f5a40023c85cbf37,20892,27911,31944
b4bdca260a6081691fd1a28edfa01db65290341d,20959,29863,33042
6eb4b16e6248bdd59d4014cd2609b5426a3c5734,19901,28952,31852
72b220b7d4d974db02a3bd6237eced4273d11860,21826,26906,31907
7b080327161503abd420d94cedd20ca1ec89005c,20861,25918,28860
dcc01b30003ddd20328dd5b965ea219d3322719d,20962,27881,30936
98092765d3ec0d06e7b703c4a2ef4aa903506f09,20343,27890,29870
3f95f72f5410f01f2c1f0a85033b7eaa8e139a13,21878,26917,29904
19e7488fa7cab0d8c0f1e81e4ce177afa8b8fb9c,19909,26888,29868
e63706bf47d28ce23152341f8acc826705313f4a,20950,27851,29877
b045dc1d0f8c7d9c70dd0c81aaacde08fd96e3fc,20922,27916,30565
b46ebff3cf9162090b4bc1b577d2cea02ebc852e,20930,26881,27860
a9c5572845dbaebfea7edd08a555e3f6383c46f8,19946,25894,33855
64846835396b5c4ef3a56c40dcc51a6447506d36,19941,27898,35762
5b18dd1f5e6404ca8c987fe40114f9587be88e0b,20858,26891,33875
00e3a21b5942d20e5bd0d6011feccdda6a15d9ba,21897,28868,31885
a23e489b54dc821804995274ecc8d12157158e26,20957,26902,28905
2b44b595130a34981344c929285bba2095961ef3,20930,26934,30947
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,19854,27867,32958
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,23932,29956,34920
c8df94651c9ce924bb61d70c8cce6796e1d61058,21912,28918,29947
5f71bb9930151a1595455f56a405d7aeff29128f,20888,26913,27942
76f7c2338cfdc6a64dfb000f1aa9c6d3526396ed,20914,26931,32166
c9c55ea86ba4ec87010256dfcd90921f39c49560,19890,26914,29862
283348c8044d834de1f8998220aea3ba441746b2,21926,28941,30945
996a1466d30f9d33a70f7c5e40834e62d5a1fec4,21809,27841,28940
6d13f91c4366e34cbd0e3809d24697dfec47b519,21897,25858,27868
60d1364fec5b8508db38044cd41bb74dc58c1338,19914,26903,32814
a5392e36c3f70061c41d33cac827595806b4c01f,20926,27899,34843
0e4a4c2796cc816bdc37b028841dc9f58a989cf3,20967,27899,30933
29165c34725e3d176b7862c1cdade564b0e05d10,20941,27868,32975
096f7414065a57805e2ca6b5107dc94130cc3845,20962,28971,30910
0f5ba227c55f3f789d5a892f72cc21caaa4ccaba,19928,26918,29888
a04a49cc8304fcbbbe08cd497a69356b385ae98a,21880,26948,32894
6c6f7247c3168a53b1f034fa61bc1440db079178,19890,25918,29902
b7ab360f2b492e8df6cc0b6c6ddbfe2d19d694dd,22906,28969,33908
5c775280c20f00358509076689637dbb25fda8bc,21934,27932,33980
6aede6a6bf49af3c5683f8e58ec7311f467c1b10,19920,28861,32879
c1143578e7b65da50c770532199bd3b8d1a661e5,19934,26916,32926
3f06e437eca970c8c79d3690f139e612b7b26b77,20906,26918,33895
05264e56586a9a58184f3a19dca5cc4f60d27816,21873,26909,31920
bbbfd007d05a5e7ff9f7ff1e70adc2f6e8a1a8ad,19883,25884,29903
c3ae53b86011825f7c5dc9b992d3a8244fdd5c01,21130,29866,30921
580b0a7c4236e161270ce0400776c652c73445c8,20978,27852,32842
dfcfb2dafc6acfa86cd1db8f8c6cd498202e202c,19969,28876,32911
e549ace612712af9292e8d3165c0d5c1f7c030cc,19925,26902,29944
9e71fbaddc112024d46096074825d1d2de40b0b1,19892,26880,28926
2c6f4ba839c1bd97d58609918867bdc7449378c3,19914,24946,27938
f8598c1b9aeff50aa916ec01cab51f6544a125fe,20886,27878,29805
11663efc1b496112c3c1b6d39406071a9afe333d,19917,25922,27911
399c1bcf1e59df41da6ad27c608df0699c5f7860,19812,23920,26941
9795dbe858bfae70f91e6f6e85e2252b540facec,20919,26897,31959
19bb5ffe2976a6e5dd2ccca6fa46bae459a7ac07,19912,26871,33870
d496171e81b325c34f4591c309cdea83bfc8ffb9,20876,27949,30822
31f7cfbb26ba95a97d57b16136ba710921262f40,20078,26915,30858
9b9280cdf607bee5551ef27a9bb4f82048bb666f,20893,27896,29910
29b35789933ea08a43c8cfa319ee182ab705a5b2,19909,27854,28974
1ad4ef69989a4d626ac9a0aea67ce995906565e4,19930,26944,30885
41ab5f0ccb90753011ead705c1754b3ed9a14f3b,20955,28870,29881
91188c450fe6e1b5dc2c6dd942e5a497dfbc91a8,20878,27910,30861
b94515a8b0bfd287760eca2ca53b36fe37d16d8d,19917,26921,30948
789b12fd25faf78cc91d7c5fb8532a10e765662c,20854,25924,32915
9bf2c6d2b4e9dd6f9d851ab60aa0e8c235479779,20908,27897,28938
fd68ab054f06eb77702dd937f84b0ca67ce45c34,19922,25918,28900
cb9ee3ba2a05c52a0159741d446943d812bbb072,19912,26878,30928
96444c456a1a6f78d41e1cc44e0dce2c33edb5cd,21863,26914,30924
7d439f3b1fe19d279f676467047b765d4737670b,21957,28923,33911
5bff214ad5feddc08055f29155d457c66644c6a5,21888,27872,29847
b12afdecb29cbda299e31f2568803de255633835,21845,27874,32848
27db0c98adaa5bc7847ae073902815b7dc92251b,19853,26855,30913
5b3789b1e5662bc86b4955ec70f406f29ea80601,18949,23908,29909
04941d16598044b381bd63d960c83d3ac781cf79,19916,25912,35907
3c38b6ebce8edb1b65e00e889cdc6901eeaa434f,19895,26883,29847
41854075699a5fd6ac4f4f21a11575366d578b66,20924,26918,28937
9d242df7ac7ac0d7a3c3e0dd48cfdfb16612b90f,20890,26920,29892
538add3070bbfa81a49030b077b549a21782f435,20912,29848,29905
