commit,p50,p95,p99
0208557d589bda7218611cfb9524363bfb1bf8d5,51388,55777,63185
986fdf8cef02d60d53fb7b893f5e70aa4025ac2b,45488,50061,52105
2d10006ecfcee31bddb9ab184f379b5a9d21143e,45874,47587,59100
7b679e8c2ae206f668eabe15846cdc891164fae1,44318,45795,75481
08fa57ae273860a9eda301d0f707ee8c6ef7c8fa,44243,46849,49047
719dc778ce464711f53e67f784ea0d796c6df9c9,45180,50860,53136
ae7aa7cc552cbbd041f18d697d5ca4036fce4ef4,44905,45651,56110
f72122693bcd0e36eafe09f10a686338cb7eca01,39569,43299,43990
05ed0f88bfbe21c782041b40408d3eea17d61828,38413,58923,74879
9b55b96d8ed8dd331e2d589120f86c6d253ad2b9,38927,40829,43986
105ceec9bbf4d8f8c617445aa5e1e582f1adff4a,38221,39350,41398
ec372be18ec56daa8e23224d2ebbd095f938c527,38604,40074,41857
efb2c1cd3444473fa09e48f4c09228d80e5a6aa5,38006,39105,40454
ab95ff3d4b526749283345dd48b708aa89f1cfc5,39070,43295,44584
55c6cb58309a6e4efd8787d1b13d48ae27c5f4a3,37747,38409,41891
1bb7307d6401b8d76b57b93fa25c5574b6c40bf2,34047,34908,36836
04ed30e962560f8315533afce75bebe67159683b,38431,40319,45068
f3dabedf327d253c72f645b4d5f1b16cdde459c3,38397,44024,59593
3767cf41c1ecbc8e181e628402d098f4696f98e9,34561,36940,37639
f694a1b6f9befd6ff86e1b64a169f2cd02e6571c,39723,41524,42231
e6226e3e5eccd4c4766f645033485d487c75ec88,38195,44114,45428
a5819b4bd38c958662d21b170f460b8c0a05ccb0,35058,40064,42218
a271b89e9c1d3b06539be8c08a823c4f6324abbf,37469,38439,56925
c7173bef10ebe17f65551318b3b551b150b9515d,39042,44416,55789
4467da61b74bb0a612a931288b7eef813cc93904,37862,38714,39049
a8411efe06b462e3eaf599ce2617bfa7e5fb15e2,38344,39282,41120
193d300962952e689c19a1c8c817fdd98f8cec3d,37787,38798,40774
d7b0f27aa5462027d53334ee56f2335b9eaebc1a,39813,51001,61410
0012b49ca96c81b96b009f835871343fde4d5180,38695,39672,40976
e2f7280ce3ca234eac3cf6124f494857bb70030e,29036,30705,32777
74f08897ff2e787a1bb87cb80bbc8d745bae92f1,30876,40017,47551
